hour_band,departure_hour,timetabled_calls,pct_of_rows,rank_by_rows
10:00-10:59,10,94323,6.49,1
11:00-11:59,11,91782,6.32,2
09:00-09:59,9,91764,6.31,3
12:00-12:59,12,89817,6.18,4
13:00-13:59,13,87613,6.03,5
08:00-08:59,8,85053,5.85,6
14:00-14:59,14,85017,5.85,7
15:00-15:59,15,79377,5.46,8
16:00-16:59,16,77203,5.31,9
17:00-17:59,17,76736,5.28,10
18:00-18:59,18,76475,5.26,11
07:00-07:59,7,76473,5.26,12
19:00-19:59,19,74135,5.1,13
20:00-20:59,20,73521,5.06,14
21:00-21:59,21,71889,4.95,15
22:00-22:59,22,67688,4.66,16
06:00-06:59,6,57345,3.95,17
23:00-23:59,23,46109,3.17,18
05:00-05:59,5,23084,1.59,19
00:00-00:59,0,17903,1.23,20
01:00-01:59,1,5055,0.35,21
04:00-04:59,4,4330,0.3,22
02:00-02:59,2,493,0.03,23
03:00-03:59,3,36,0.0,24
