day_type,hour_band,departures,pct_of_day_type,rank_in_day_type
Weekday,07:00,787881,6.75,1
Weekday,17:00,777271,6.66,2
Weekday,16:00,746463,6.4,3
Weekday,18:00,716072,6.14,4
Weekday,08:00,706922,6.06,5
Weekday,06:00,677774,5.81,6
Weekday,09:00,660655,5.66,7
Weekday,15:00,660283,5.66,8
Weekday,10:00,655365,5.62,9
Weekday,12:00,655131,5.61,10
Weekday,13:00,654009,5.6,11
Weekday,11:00,648798,5.56,12
Weekday,19:00,648022,5.55,13
Weekday,14:00,645759,5.53,14
Weekday,20:00,583742,5.0,15
Weekday,21:00,496401,4.25,16
Weekday,22:00,363005,3.11,17
Weekday,05:00,312005,2.67,18
Weekday,23:00,178266,1.53,19
Weekday,04:00,50009,0.43,20
Weekday,00:00,43416,0.37,21
Weekday,01:00,4156,0.04,22
Weekday,02:00,158,0.0,23
Weekday,03:00,70,0.0,24
Weekend,18:00,176606,6.02,1
Weekend,19:00,175996,6.0,2
Weekend,12:00,175182,5.98,3
Weekend,10:00,175068,5.97,4
Weekend,14:00,174754,5.96,5
Weekend,16:00,173456,5.92,6
Weekend,17:00,173380,5.91,7
Weekend,13:00,173160,5.91,8
Weekend,11:00,172836,5.9,9
Weekend,15:00,172832,5.9,10
Weekend,20:00,172744,5.89,11
Weekend,09:00,171953,5.87,12
Weekend,08:00,168433,5.75,13
Weekend,21:00,162341,5.54,14
Weekend,07:00,150644,5.14,15
Weekend,22:00,134903,4.6,16
Weekend,06:00,97757,3.33,17
Weekend,23:00,73271,2.5,18
Weekend,05:00,24725,0.84,19
Weekend,00:00,22284,0.76,20
Weekend,01:00,5777,0.2,21
Weekend,04:00,2820,0.1,22
Weekend,02:00,625,0.02,23
Weekend,03:00,38,0.0,24
