rank_annualised,rank_raw,terminal_destination,annual_morning_trips,pct_of_morning_network,morning_trips,avg_days_per_trip
1,1,Anvers-Central,41972,8.16,3930,10.7
2,3,Louvain,27516,5.35,2505,11.0
3,3,Charleroi-Central,21328,4.15,2505,8.5
4,2,Bruxelles-Midi,16806,3.27,3150,5.3
5,5,Brussels Airport-Zaventem,16320,3.17,2210,7.4
6,14,Luxembourg (LU),14540,2.83,924,15.7
7,10,Gand-Saint-Pierre,13550,2.64,1090,12.4
8,6,Liège-Guillemins,13036,2.54,1660,7.9
9,9,Hasselt,12850,2.5,1230,10.4
10,16,Termonde,12726,2.48,839,15.2
11,7,Namur,12466,2.42,1457,8.6
12,21,Courtrai,11824,2.3,734,16.1
13,13,Ottignies,10416,2.03,941,11.1
14,22,Malines,10212,1.99,718,14.2
15,28,Grammont,9866,1.92,596,16.6
16,33,Alost,9502,1.85,552,17.2
17,8,Ostende,9300,1.81,1419,6.6
18,12,Mons,9070,1.76,962,9.4
19,19,Libramont,8240,1.6,789,10.4
20,18,Braine-le-Comte,8101,1.58,798,10.2
21,11,Nivelles,7606,1.48,978,7.8
22,34,Zottegem,7263,1.41,539,13.5
23,20,Arlon,7137,1.39,773,9.2
24,29,Lille Flandres (FR),7036,1.37,594,11.8
25,42,Louvain-la-Neuve,7019,1.37,345,20.3
