terminal_destination,annual_morning_trips,annual_afternoon_evening_trips,annual_trips_all_day,morning_share_pct
Schaerbeek,6727,3498,10225,65.8
Eupen,3124,2590,5714,54.7
Blankenberge,3704,3463,7167,51.7
Wavre,2773,2780,5553,49.9
Lille Flandres (FR),7036,7270,14306,49.2
Jambes,4129,4304,8433,49.0
Mouscron,2534,2720,5254,48.2
Zottegem,7263,8348,15611,46.5
Knokke,3186,3713,6899,46.2
Denderleeuw,5297,6237,11534,45.9
Brussels Airport-Zaventem,16320,19292,35612,45.8
Quiévrain,2595,3100,5695,45.6
Libramont,8240,10118,18358,44.9
Ostende,9300,11711,21011,44.3
Essen,4144,5229,9373,44.2
Verviers-Central,4072,5139,9211,44.2
Dinant,2927,3758,6685,43.8
Rotterdam Centraal (NL),2368,3039,5407,43.8
Nivelles,7606,9947,17553,43.3
Liège-Saint-Lambert,4663,6111,10774,43.3
