route_category,mode,routes,scheduled_trips,bikes_ratio,pct_bikes,pct_wheelchair
BUS,Bus,270,11758,0 / 11758,0.0,0.0
IC,Rail,579,64184,64184 / 64184,100.0,0.0
L,Rail,333,19674,19674 / 19674,100.0,0.0
S1,Rail,25,3937,3937 / 3937,100.0,0.0
S2,Rail,10,3519,3519 / 3519,100.0,0.0
S41,Rail,15,2659,2659 / 2659,100.0,0.0
S10,Rail,10,2468,2468 / 2468,100.0,0.0
S8,Rail,20,2296,2296 / 2296,100.0,0.0
P,Rail,166,2215,2215 / 2215,100.0,0.0
S61,Rail,27,2207,2207 / 2207,100.0,0.0
S19,Rail,12,1924,1924 / 1924,100.0,0.0
S62,Rail,10,1811,1811 / 1811,100.0,0.0
S32,Rail,22,1699,1699 / 1699,100.0,0.0
S3,Rail,21,1638,1638 / 1638,100.0,0.0
EC,Rail,15,1590,1590 / 1590,100.0,0.0
S44,Rail,6,1204,1204 / 1204,100.0,0.0
S5,Rail,12,976,976 / 976,100.0,0.0
S52,Rail,6,913,913 / 913,100.0,0.0
S42,Rail,5,908,908 / 908,100.0,0.0
S34,Rail,13,861,861 / 861,100.0,0.0
S51,Rail,9,691,691 / 691,100.0,0.0
S20,Rail,5,673,673 / 673,100.0,0.0
S43,Rail,5,634,634 / 634,100.0,0.0
S4,Rail,10,618,618 / 618,100.0,0.0
T,Rail,32,558,558 / 558,100.0,0.0
EXT,Rail,54,485,485 / 485,100.0,0.0
S33,Rail,7,388,388 / 388,100.0,0.0
S64,Rail,4,380,380 / 380,100.0,0.0
S9,Rail,5,340,340 / 340,100.0,0.0
OTC,Rail,2,332,332 / 332,100.0,0.0
S63,Rail,4,293,293 / 293,100.0,0.0
S53,Rail,7,281,281 / 281,100.0,0.0
TRN,Rail,71,232,232 / 232,100.0,0.0
S35,Rail,3,208,208 / 208,100.0,0.0
S7,Rail,5,179,179 / 179,100.0,0.0
