cause,effect,alert_fr
CONSTRUCTION,MODIFIED_SERVICE,Arlon - Athus - Luxembourg (LU)
CONSTRUCTION,MODIFIED_SERVICE,Bruxelles-Luxembourg - Vilvorde / Louvain
CONSTRUCTION,MODIFIED_SERVICE,Flémalle-Haute - Herstal
CONSTRUCTION,MODIFIED_SERVICE,Huy - Liers
CONSTRUCTION,MODIFIED_SERVICE,Libramont - Virton
CONSTRUCTION,MODIFIED_SERVICE,Louvain - Ans
CONSTRUCTION,MODIFIED_SERVICE,Mol - Hasselt
CONSTRUCTION,MODIFIED_SERVICE,Mortsel - Anvers-Berchem
CONSTRUCTION,MODIFIED_SERVICE,Namur - Dinant
CONSTRUCTION,MODIFIED_SERVICE,Namur - Liège-Saint-Lambert
CONSTRUCTION,MODIFIED_SERVICE,Ottignies - Louvain
CONSTRUCTION,NO_SERVICE,Ath - Tournai
CONSTRUCTION,NO_SERVICE,Bruxelles - la frontière française
CONSTRUCTION,NO_SERVICE,Charleroi-Central - Couvin
CONSTRUCTION,NO_SERVICE,Ciney - Marloie
CONSTRUCTION,NO_SERVICE,Hal - Braine-le-Comte
CONSTRUCTION,NO_SERVICE,Herentals - Mol
CONSTRUCTION,NO_SERVICE,Ottignies - Fleurus
CONSTRUCTION,NO_SERVICE,Puurs - Boom
UNKNOWN_CAUSE,SIGNIFICANT_DELAYS,Rivage - Aywaille : Retards et suppressions
CONSTRUCTION,UNKNOWN_EFFECT,Landen - Waremme - Liège-Guillemins
CONSTRUCTION,UNKNOWN_EFFECT,Rotterdam-C.s. (nl) - Breda (NL)
