station_name,hour_band,calls,pct_of_hub_day,hour_rank
Anvers-Central,00:00,164,1.19,20
Anvers-Central,01:00,41,0.3,22
Anvers-Central,04:00,154,1.12,21
Anvers-Central,05:00,405,2.95,19
Anvers-Central,06:00,629,4.58,17
Anvers-Central,07:00,731,5.32,7
Anvers-Central,08:00,801,5.83,2
Anvers-Central,09:00,777,5.65,4
Anvers-Central,10:00,813,5.92,1
Anvers-Central,11:00,782,5.69,3
Anvers-Central,12:00,768,5.59,5
Anvers-Central,13:00,709,5.16,12
Anvers-Central,14:00,720,5.24,11
Anvers-Central,15:00,701,5.1,14
Anvers-Central,16:00,723,5.26,8
Anvers-Central,17:00,723,5.26,8
Anvers-Central,18:00,743,5.41,6
Anvers-Central,19:00,704,5.12,13
Anvers-Central,20:00,721,5.25,10
Anvers-Central,21:00,657,4.78,16
Anvers-Central,22:00,697,5.07,15
Anvers-Central,23:00,580,4.22,18
Bruxelles-Central,00:00,969,1.94,19
Bruxelles-Central,01:00,153,0.31,21
Bruxelles-Central,02:00,48,0.1,23
Bruxelles-Central,03:00,1,0.0,24
Bruxelles-Central,04:00,68,0.14,22
Bruxelles-Central,05:00,859,1.72,20
Bruxelles-Central,06:00,2041,4.08,18
Bruxelles-Central,07:00,2587,5.17,14
Bruxelles-Central,08:00,2765,5.53,7
Bruxelles-Central,09:00,2988,5.97,2
Bruxelles-Central,10:00,3085,6.17,1
Bruxelles-Central,11:00,2874,5.74,3
Bruxelles-Central,12:00,2856,5.71,4
Bruxelles-Central,13:00,2781,5.56,6
Bruxelles-Central,14:00,2725,5.45,8
Bruxelles-Central,15:00,2641,5.28,10
Bruxelles-Central,16:00,2659,5.32,9
Bruxelles-Central,17:00,2600,5.2,12
Bruxelles-Central,18:00,2628,5.25,11
Bruxelles-Central,19:00,2543,5.08,15
Bruxelles-Central,20:00,2495,4.99,16
Bruxelles-Central,21:00,2589,5.18,13
Bruxelles-Central,22:00,2837,5.67,5
Bruxelles-Central,23:00,2236,4.47,17
Bruxelles-Midi,00:00,730,1.6,20
Bruxelles-Midi,01:00,96,0.21,21
Bruxelles-Midi,04:00,90,0.2,22
Bruxelles-Midi,05:00,879,1.93,19
Bruxelles-Midi,06:00,1857,4.08,18
Bruxelles-Midi,07:00,2413,5.3,11
Bruxelles-Midi,08:00,2482,5.45,8
Bruxelles-Midi,09:00,2720,5.97,2
Bruxelles-Midi,10:00,2798,6.14,1
Bruxelles-Midi,11:00,2642,5.8,3
Bruxelles-Midi,12:00,2563,5.63,5
Bruxelles-Midi,13:00,2631,5.78,4
Bruxelles-Midi,14:00,2511,5.51,7
Bruxelles-Midi,15:00,2364,5.19,14
Bruxelles-Midi,16:00,2450,5.38,10
Bruxelles-Midi,17:00,2457,5.39,9
Bruxelles-Midi,18:00,2391,5.25,12
Bruxelles-Midi,19:00,2368,5.2,13
Bruxelles-Midi,20:00,2331,5.12,15
Bruxelles-Midi,21:00,2318,5.09,16
Bruxelles-Midi,22:00,2542,5.58,6
Bruxelles-Midi,23:00,1920,4.21,17
Bruxelles-Nord,00:00,965,1.94,19
Bruxelles-Nord,01:00,154,0.31,21
Bruxelles-Nord,02:00,49,0.1,22
Bruxelles-Nord,04:00,37,0.07,23
Bruxelles-Nord,05:00,850,1.71,20
Bruxelles-Nord,06:00,2006,4.04,18
Bruxelles-Nord,07:00,2595,5.22,12
Bruxelles-Nord,08:00,2773,5.58,6
Bruxelles-Nord,09:00,2947,5.93,2
Bruxelles-Nord,10:00,3061,6.16,1
Bruxelles-Nord,11:00,2847,5.73,4
Bruxelles-Nord,12:00,2864,5.76,3
Bruxelles-Nord,13:00,2761,5.55,7
Bruxelles-Nord,14:00,2701,5.43,8
Bruxelles-Nord,15:00,2608,5.25,11
Bruxelles-Nord,16:00,2652,5.33,9
Bruxelles-Nord,17:00,2586,5.2,13
Bruxelles-Nord,18:00,2614,5.26,10
Bruxelles-Nord,19:00,2559,5.15,14
Bruxelles-Nord,20:00,2479,4.99,16
Bruxelles-Nord,21:00,2545,5.12,15
Bruxelles-Nord,22:00,2782,5.6,5
Bruxelles-Nord,23:00,2275,4.58,17
Gand-Saint-Pierre,00:00,185,0.95,20
Gand-Saint-Pierre,01:00,160,0.82,21
Gand-Saint-Pierre,04:00,101,0.52,22
Gand-Saint-Pierre,05:00,279,1.44,19
Gand-Saint-Pierre,06:00,775,3.99,18
Gand-Saint-Pierre,07:00,905,4.66,17
Gand-Saint-Pierre,08:00,1079,5.55,8
Gand-Saint-Pierre,09:00,1133,5.83,3
Gand-Saint-Pierre,10:00,1217,6.27,2
Gand-Saint-Pierre,11:00,1221,6.29,1
Gand-Saint-Pierre,12:00,1129,5.81,4
Gand-Saint-Pierre,13:00,1084,5.58,7
Gand-Saint-Pierre,14:00,1032,5.31,9
Gand-Saint-Pierre,15:00,1003,5.16,12
Gand-Saint-Pierre,16:00,987,5.08,14
Gand-Saint-Pierre,17:00,1107,5.7,6
Gand-Saint-Pierre,18:00,1029,5.3,10
Gand-Saint-Pierre,19:00,1005,5.17,11
Gand-Saint-Pierre,20:00,1108,5.7,5
Gand-Saint-Pierre,21:00,996,5.13,13
Gand-Saint-Pierre,22:00,962,4.95,15
Gand-Saint-Pierre,23:00,927,4.77,16
